lib,ttft_ms,cdf
pickle,64.0,0.007621526164141649
pickle,64.0,0.007714471605167766
pickle,64.0,0.007807417046193884
pickle,64.0,0.007900362487220002
pickle,64.0,0.007993307928246119
pickle,64.0,0.008086253369272238
pickle,64.0,0.008179198810298355
pickle,64.0,0.008272144251324472
pickle,64.0,0.008365089692350591
pickle,64.0,0.008458035133376708
pickle,64.0,0.008550980574402825
pickle,64.0,0.008643926015428943
pickle,64.0,0.008736871456455061
pickle,64.0,0.008829816897481179
pickle,64.0,0.008922762338507296
pickle,64.0,0.009015707779533413
pickle,64.0,0.009108653220559532
pickle,64.0,0.00920159866158565
pickle,64.0,0.009294544102611766
pickle,64.0,0.009387489543637885
pickle,65.0,0.009480434984664003
pickle,65.0,0.00957338042569012
pickle,65.0,0.009666325866716237
pickle,65.0,0.009759271307742356
pickle,65.0,0.009852216748768473
pickle,65.0,0.00994516218979459
pickle,65.0,0.010038107630820707
pickle,65.0,0.010131053071846826
pickle,65.0,0.010223998512872944
pickle,65.0,0.01031694395389906
pickle,65.0,0.01040988939492518
pickle,65.0,0.010502834835951297
pickle,65.0,0.010595780276977414
pickle,65.0,0.010688725718003531
pickle,65.0,0.01078167115902965
pickle,65.0,0.010874616600055767
pickle,65.0,0.010967562041081885
pickle,65.0,0.011060507482108002
pickle,65.0,0.01115345292313412
pickle,65.0,0.011246398364160238
pickle,65.0,0.011339343805186355
pickle,65.0,0.011432289246212474
pickle,65.0,0.011525234687238591
pickle,66.0,0.011618180128264708
pickle,66.0,0.011711125569290826
pickle,66.0,0.011804071010316945
pickle,66.0,0.011897016451343062
pickle,66.0,0.011989961892369179
pickle,66.0,0.012082907333395296
pickle,67.0,0.012175852774421415
pickle,67.0,0.012268798215447532
pickle,67.0,0.01236174365647365
pickle,67.0,0.012454689097499768
pickle,67.0,0.012547634538525886
pickle,67.0,0.012640579979552003
pickle,67.0,0.01273352542057812
pickle,67.0,0.012826470861604239
pickle,67.0,0.012919416302630356
pickle,67.0,0.013012361743656473
pickle,67.0,0.01310530718468259
pickle,67.0,0.01319825262570871
pickle,67.0,0.013291198066734827
pickle,67.0,0.013384143507760944
pickle,67.0,0.013477088948787063
pickle,67.0,0.01357003438981318
pickle,67.0,0.013662979830839297
pickle,67.0,0.013755925271865414
pickle,67.0,0.013848870712891533
pickle,68.0,0.01394181615391765
pickle,68.0,0.014034761594943768
pickle,68.0,0.014127707035969885
pickle,68.0,0.014220652476996004
pickle,68.0,0.014313597918022121
pickle,68.0,0.014406543359048238
pickle,68.0,0.014499488800074357
pickle,68.0,0.014592434241100474
pickle,68.0,0.014685379682126591
pickle,68.0,0.014778325123152709
pickle,68.0,0.014871270564178828
pickle,68.0,0.014964216005204945
pickle,68.0,0.015057161446231062
pickle,68.0,0.01515010688725718
pickle,68.0,0.015243052328283298
pickle,68.0,0.015335997769309415
pickle,68.0,0.015428943210335532
pickle,69.0,0.015521888651361651
pickle,69.0,0.015614834092387769
pickle,69.0,0.015707779533413888
pickle,69.0,0.015800724974440003
pickle,69.0,0.015893670415466122
pickle,69.0,0.015986615856492237
pickle,69.0,0.016079561297518356
pickle,69.0,0.016172506738544475
pickle,70.0,0.01626545217957059
pickle,70.0,0.01635839762059671
pickle,70.0,0.01645134306162283
pickle,70.0,0.016544288502648944
pickle,70.0,0.016637233943675063
pickle,70.0,0.016730179384701182
pickle,71.0,0.016823124825727297
pickle,72.0,0.016916070266753416
pickle,72.0,0.017009015707779532
pickle,74.0,0.01710196114880565
pickle,74.0,0.01719490658983177
